England and Wales Code,England and Wales,Country of birth (extended) (190 categories) Code,Country of birth (extended) (190 categories),Passports held (52 categories) Code,Passports held (52 categories),Observation
K04000001,England and Wales,1,Europe: United Kingdom: England,9,Europe: Other Europe: EU Member countries: Poland,87889
K04000001,England and Wales,1,Europe: United Kingdom: England,10,Europe: Other Europe: EU Member countries: Romania,41003
K04000001,England and Wales,1,Europe: United Kingdom: England,11,Europe: Other Europe: EU Member countries: Other EU countries,85175
K04000001,England and Wales,1,Europe: United Kingdom: England,12,Europe: Other Europe: Rest of Europe: Turkey,1142
K04000001,England and Wales,1,Europe: United Kingdom: England,13,Europe: Other Europe: Rest of Europe: Other Europe,6234
K04000001,England and Wales,1,Europe: United Kingdom: England,14,Africa: North Africa,2232
K04000001,England and Wales,1,Europe: United Kingdom: England,15,Africa: Central and Western Africa: Ghana,2110
K04000001,England and Wales,1,Europe: United Kingdom: England,16,Africa: Central and Western Africa: Nigeria,5632
K04000001,England and Wales,1,Europe: United Kingdom: England,17,Africa: Central and Western Africa: Other Central and Western Africa,992
K04000001,England and Wales,1,Europe: United Kingdom: England,18,Africa: South and Eastern Africa: Kenya,304
K04000001,England and Wales,1,Europe: United Kingdom: England,19,Africa: South and Eastern Africa: Somalia,77
K04000001,England and Wales,1,Europe: United Kingdom: England,20,Africa: South and Eastern Africa: South Africa,1089
K04000001,England and Wales,1,Europe: United Kingdom: England,21,Africa: South and Eastern Africa: Zimbabwe,1309
K04000001,England and Wales,1,Europe: United Kingdom: England,22,Africa: South and Eastern Africa: Other South and Eastern Africa,1415
K04000001,England and Wales,1,Europe: United Kingdom: England,23,Middle East and Asia: Middle East: Iran,555
K04000001,England and Wales,1,Europe: United Kingdom: England,24,Middle East and Asia: Middle East: Iraq,325
K04000001,England and Wales,1,Europe: United Kingdom: England,25,Middle East and Asia: Middle East: Other Middle East,1789
K04000001,England and Wales,1,Europe: United Kingdom: England,26,Middle East and Asia: Eastern Asia: China,3518
K04000001,England and Wales,1,Europe: United Kingdom: England,27,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),246
K04000001,England and Wales,1,Europe: United Kingdom: England,28,Middle East and Asia: Eastern Asia: Japan,763
K04000001,England and Wales,1,Europe: United Kingdom: England,29,Middle East and Asia: Eastern Asia: Other Eastern Asia,434
K04000001,England and Wales,1,Europe: United Kingdom: England,30,Middle East and Asia: Southern Asia: Afghanistan,528
K04000001,England and Wales,1,Europe: United Kingdom: England,31,Middle East and Asia: Southern Asia: Bangladesh,2086
K04000001,England and Wales,1,Europe: United Kingdom: England,32,Middle East and Asia: Southern Asia: India,12277
K04000001,England and Wales,1,Europe: United Kingdom: England,33,Middle East and Asia: Southern Asia: Pakistan,7577
K04000001,England and Wales,1,Europe: United Kingdom: England,34,Middle East and Asia: Southern Asia: Sri Lanka,1053
K04000001,England and Wales,1,Europe: United Kingdom: England,35,Middle East and Asia: Southern Asia: Other Southern Asia,600
K04000001,England and Wales,1,Europe: United Kingdom: England,36,Middle East and Asia: South-East Asia: Malaysia,1774
K04000001,England and Wales,1,Europe: United Kingdom: England,37,Middle East and Asia: South-East Asia: Philippines,1111
K04000001,England and Wales,1,Europe: United Kingdom: England,38,Middle East and Asia: South-East Asia: Singapore,178
K04000001,England and Wales,1,Europe: United Kingdom: England,39,Middle East and Asia: South-East Asia: Other South-East Asia,936
